rank,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
129,BTS,Lights,Universal Music LLC,15,131,564,33286,0.608,0.644,5,-5.588,1,0.0314,0.156,0.0,0.124,0.431,99.005,292853,4
130,¥ellow Bucks,My Resort,To The Top Gang,69,130,220,33069,0.824,0.752,9,-4.496,1,0.035,0.0314,3.93e-06,0.122,0.739,117.991,132813,4
131,オレンジスパイニクラブ,キンモクセイ,TBD/A,13,126,326,32967,0.544,0.761,5,-3.936,1,0.0362,0.092,0.0,0.18,0.322,105.035,231933,4
132,OFFICIAL HIGE DANDISM,イエスタデイ,ポニーキャニオン,3,129,638,32766,0.541,0.8,6,-3.687,1,0.0382,0.0442,0.0,0.398,0.56,129.939,299164,4
133,Ed Sheeran,Shape of You,Atlantic Records UK,1,137,1616,32545,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,233713,4
134,DISH//,No.1,Sony Music Labels Inc.,121,127,52,32516,0.498,0.879,1,-4.3,1,0.057,0.0216,0.0,0.112,0.64,90.495,232907,4
135,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,Aftermath Entertainment/Atlantic,70,132,97,32375,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,242096,4
136,Mr.Children,HANABI,Toy's Factory,1,138,1127,32197,0.638,0.766,1,-5.541,1,0.0268,0.157,0.0,0.124,0.595,112.005,342773,4
137,sloppy dim,カタコト,Warner Music D.N.A.,89,136,124,32194,0.859,0.629,4,-6.613,1,0.0695,0.591,0.00474,0.165,0.909,135.02,158889,4
138,Ado,レディメイド,Universal Music LLC,110,140,138,32118,0.659,0.876,5,-1.779,0,0.0626,0.0291,0.0,0.252,0.591,97.535,244378,4
139,Tokyo Incidents,孔雀,Universal Music LLC,139,-1,1,32110,0.79,0.426,4,-6.094,0,0.0497,0.011,0.000124,0.152,0.69,90.02,119000,4
140,"The Weeknd, Ariana Grande",Save Your Tears (with Ariana Grande) (Remix),Republic Records,88,125,46,31976,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,191014,4
141,Vaundy,東京フラッシュ,株式会社SDR,78,135,351,31850,0.628,0.634,2,-5.508,1,0.0322,0.00255,7.24e-06,0.0456,0.606,97.99,258859,4
